,months,weekdays
Italian/French,"[ 0.93167323  0.96280318  0.99567666  1.03580446  1.02009217  0.99508364
  1.03221213  0.95642294  0.98573093  0.9788475   0.96054552  1.14510766]","[ 0.83692889  0.87401267  0.93411332  0.92442915  1.1368839   1.18334447
  1.11028761]"
Dining bar,"[ 0.90568305  0.92423248  1.00352433  1.07702584  1.05144127  1.06243574
  1.05982967  0.96671089  0.95566641  0.9457318   0.91344168  1.13427683]","[ 0.78010267  0.8164688   0.91317243  0.91150774  1.1579178   1.33883356
  1.08199701]"
Yakiniku/Korean food,"[ 0.95047103  0.988374    1.09839024  1.10404046  1.06363185  1.19764709
  0.9466632   0.8513891   0.90944048  0.90757814  0.88445143  1.09792298]","[ 0.83513281  0.85938048  0.98460126  0.92231241  1.24650285  1.14286219
  1.00920799]"
Cafe/Sweets,"[ 0.92660904  1.02403108  1.09708084  1.07930822  1.13667146  1.00098411
  0.98406839  0.9359438   0.93334101  0.98868767  0.92147782  0.97179654]","[ 0.87175801  0.84662086  0.89182535  0.90028317  0.90822242  1.26986895
  1.31142124]"
Izakaya,"[ 0.9788439   0.95109431  1.02201716  1.06338192  1.01105465  1.02799681
  1.00570539  0.93856349  0.93621152  0.94675728  0.94504419  1.17332937]","[ 0.81032024  0.83962271  0.94184292  0.89452062  1.23788354  1.261488
  1.01432197]"
Okonomiyaki/Monja/Teppanyaki,"[ 1.06159644  1.07288618  1.25760807  0.95169812  0.89395879  0.86470025
  0.9847206   0.83750835  0.8478394   0.95582888  1.04983787  1.22181705]","[ 0.78433195  0.87519507  0.87363229  0.92260279  1.05856032  1.28166232
  1.20401526]"
Bar/Cocktail,"[ 0.97811875  0.97534507  1.04597868  1.1319504   1.03567445  0.99763771
  1.02158665  0.9205169   0.94027666  0.94201965  0.92199504  1.08890005]","[ 0.74579998  0.83072362  0.87186669  0.87625935  1.0560253   1.39652999
  1.22279507]"
Japanese food,"[ 0.97095116  0.96222762  1.01808266  1.11903862  1.02965215  1.03131013
  0.98157523  0.91427245  0.93898319  0.96519031  0.96445416  1.10426233]","[ 0.84958366  0.89875942  0.97154918  0.92314941  1.11638143  1.18500822
  1.05556869]"
Creative cuisine,"[ 0.99643126  1.00079977  0.96881535  0.82546267  0.76191453  0.74410182
  1.04560401  1.055979    1.07025177  1.24406815  1.11625264  1.17031903]","[ 0.80560174  0.81690942  0.908449    0.91504584  1.05185638  1.28657595
  1.21556167]"
Other,"[ 0.94388142  0.99177702  1.09268868  1.08334875  1.02596667  0.97169837
  1.02482553  0.91493567  0.93310841  1.01575403  0.98300342  1.01901204]","[ 0.84756047  0.88773976  0.89254502  0.93947207  1.01356624  1.2268453
  1.19227114]"
Western food,"[ 0.94664651  1.01461916  1.1301338   1.21181788  1.25465152  0.98625281
  1.00856199  0.8827861   0.89702826  0.85201544  0.8459018   0.96958475]","[ 0.77021601  0.89911927  0.96012973  0.94510736  1.07446153  1.22323636
  1.12772974]"
genre_dropped,[ nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan],"[ 0.75359699  0.76839002  0.76124469  0.79980685  0.97437106  1.38089641
  1.56169398]"
